"Salesprice","Seller","Fueltype","Gearbox","Mileage","Year","Cartype","Drivetype","Horspower","Color","Brand","Modell","Region"
159900,"Företag","Bensin","Automat",13300,2015,"Halvkombi","Tvåhjulsdriven",141,"Svart","Volkswagen","golf","Göteborg"
10000,"Privat","Bensin","Manuell",16929,2003,"Halvkombi","Tvåhjulsdriven",75,"Silver","Volkswagen","polo","Göteborg"
134900,"Företag","Diesel","Manuell",10430,2015,"Kombi","Tvåhjulsdriven",105,"Vit","Volkswagen","golf","Göteborg"
44700,"Företag","Diesel","Manuell",23746,2012,"Halvkombi","Tvåhjulsdriven",90,"Silver","Volkswagen","polo","Göteborg"
69900,"Företag","Bensin","Manuell",14540,2010,"Halvkombi","Tvåhjulsdriven",86,"Grå","Volkswagen","polo","Göteborg"
154800,"Företag","Miljöbränsle/Hybrid","Automat",17737,2018,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Göteborg"
179000,"Företag","Diesel","Automat",12795,2016,"Halvkombi","Tvåhjulsdriven",184,"Grå","Volkswagen","golf","Göteborg"
338500,"Företag","Bensin","Automat",7782,2021,"Suv","Fyrhjulsdriven",191,"Svart","Volkswagen","tiguan","Göteborg"
439000,"Företag","Diesel","Automat",5108,2022,"Familjebuss","Tvåhjulsdriven",150,"Vit","Volkswagen","transporter","Göteborg"
110000,"Privat","Diesel","Automat",19999,2013,"Halvkombi","Tvåhjulsdriven",105,"Grå","Volkswagen","golf","Göteborg"
34900,"Företag","Bensin","Manuell",18986,2008,"Kombi","Tvåhjulsdriven",141,"Röd","Volkswagen","golf","Göteborg"
107000,"Privat","Diesel","Automat",24113,2011,"Familjebuss","Tvåhjulsdriven",141,"Silver","Volkswagen","sharan","Göteborg"
39000,"Privat","Miljöbränsle/Hybrid","Manuell",16914,2008,"Halvkombi","Tvåhjulsdriven",102,"Silver","Volkswagen","golf","Göteborg"
155000,"Företag","Bensin","Automat",10835,2015,"Familjebuss","Tvåhjulsdriven",141,"Grå","Volkswagen","touran","Göteborg"
130000,"Privat","Diesel","Manuell",11106,2017,"Halvkombi","Tvåhjulsdriven",116,"Vit","Volkswagen","golf","Göteborg"
99900,"Företag","Bensin","Manuell",14551,2013,"Halvkombi","Tvåhjulsdriven",105,"Blå","Volkswagen","golf","Göteborg"
115000,"Företag","Bensin","Automat",13452,2015,"Halvkombi","Tvåhjulsdriven",90,"Silver","Volkswagen","golf","Göteborg"
110000,"Företag","Bensin","Automat",8800,2012,"Halvkombi","Tvåhjulsdriven",86,"Röd","Volkswagen","polo","Göteborg"
164900,"Företag","Diesel","Automat",13504,2015,"Kombi","Fyrhjulsdriven",177,"Svart","Volkswagen","passat","Göteborg"
89900,"Företag","Miljöbränsle/Hybrid","Manuell",9300,2013,"Sedan","Tvåhjulsdriven",161,"Röd","Volkswagen","passat","Göteborg"
105000,"Privat","Bensin","Manuell",8961,2014,"Halvkombi","Tvåhjulsdriven",90,"Grå","Volkswagen","polo","Göteborg"
229900,"Företag","Diesel","Automat",14353,2021,"Kombi","Tvåhjulsdriven",116,"Svart","Volkswagen","golf","Göteborg"
239900,"Företag","Miljöbränsle/Hybrid","Automat",11706,2022,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Göteborg"
19500,"Privat","Diesel","Manuell",44103,2001,"Kombi","Tvåhjulsdriven",90,"Vit","Volkswagen","golf","Göteborg"
169700,"Företag","El","Automat",3500,2016,"Halvkombi","Tvåhjulsdriven",116,"Vit","Volkswagen","golf","Göteborg"
70000,"Privat","Diesel","Manuell",21464,2013,"Kombi","Tvåhjulsdriven",141,"Grå","Volkswagen","passat","Göteborg"
329800,"Företag","El","Automat",7687,2021,"Suv","Tvåhjulsdriven",207,"Vit","Volkswagen","ID.4","Göteborg"
45000,"Privat","Miljöbränsle/Hybrid","Manuell",23926,2010,"Halvkombi","Tvåhjulsdriven",102,"Silver","Volkswagen","golf","Göteborg"
294900,"Företag","Diesel","Automat",8560,2021,"Kombi","Fyrhjulsdriven",200,"Svart","Volkswagen","passat","Göteborg"
230000,"Privat","Miljöbränsle/Hybrid","Automat",8050,2020,"Kombi","Tvåhjulsdriven",218,"Brun","Volkswagen","passat","Göteborg"
659000,"Företag","Miljöbränsle/Hybrid","Automat",8300,2021,"Suv","Fyrhjulsdriven",463,"Vit","Volkswagen","touareg","Göteborg"
24000,"Privat","Bensin","Manuell",20100,2007,"Halvkombi","Tvåhjulsdriven",81,"Svart","Volkswagen","polo","Göteborg"
70000,"Privat","Bensin","Automat",24444,2011,"Halvkombi","Tvåhjulsdriven",161,"Grå","Volkswagen","scirocco","Göteborg"
31000,"Privat","Bensin","Manuell",16296,2007,"Halvkombi","Tvåhjulsdriven",102,"Grå","Volkswagen","golf","Göteborg"
194900,"Företag","Bensin","Manuell",6561,2021,"Halvkombi","Tvåhjulsdriven",150,"Vit","Volkswagen","golf","Göteborg"
59000,"Privat","Bensin","Manuell",24231,2009,"Halvkombi","Tvåhjulsdriven",123,"Röd","Volkswagen","golf","Göteborg"
104990,"Företag","Miljöbränsle/Hybrid","Automat",7720,2015,"Familjebuss","Tvåhjulsdriven",150,"Vit","Volkswagen","touran","Göteborg"
258900,"Företag","Diesel","Automat",12255,2017,"Familjebuss","Tvåhjulsdriven",150,"Brun","Volkswagen","sharan","Östergötland"
169800,"Företag","Bensin","Automat",15239,2014,"Halvkombi","Tvåhjulsdriven",230,"Svart","Volkswagen","golf","Östergötland"
99000,"Företag","Diesel","Automat",25471,2014,"Kombi","Fyrhjulsdriven",177,"Grå","Volkswagen","passat","Östergötland"
309800,"Företag","Diesel","Automat",13242,2020,"Familjebuss","Fyrhjulsdriven",177,"Grå","Volkswagen","sharan","Östergötland"
48000,"Privat","Diesel","Automat",21156,2012,"Halvkombi","Tvåhjulsdriven",90,"Silver","Volkswagen","polo","Östergötland"
139800,"Företag","Bensin","Manuell",2139,2013,"Halvkombi","Tvåhjulsdriven",141,"Silver","Volkswagen","golf","Östergötland"
279800,"Företag","Diesel","Automat",7430,2020,"Kombi","Fyrhjulsdriven",191,"Silver","Volkswagen","passat","Östergötland"
229000,"Företag","Bensin","Automat",3045,2021,"Kombi","Tvåhjulsdriven",111,"Vit","Volkswagen","T-Cross","Östergötland"
52000,"Privat","Diesel","Manuell",22072,2013,"Kombi","Tvåhjulsdriven",105,"Svart","Volkswagen","golf","Östergötland"
158800,"Företag","Bensin","Automat",9592,2018,"Kombi","Tvåhjulsdriven",111,"Vit","Volkswagen","golf","Östergötland"
179000,"Företag","Diesel","Automat",15939,2016,"Sedan","Fyrhjulsdriven",240,"Vit","Volkswagen","passat","Östergötland"
144800,"Företag","Bensin","Automat",6183,2017,"Halvkombi","Tvåhjulsdriven",90,"Vit","Volkswagen","polo","Östergötland"
169800,"Företag","Diesel","Automat",16981,2017,"Kombi","Fyrhjulsdriven",191,"Vit","Volkswagen","passat","Östergötland"
144800,"Företag","Bensin","Automat",5435,2016,"Halvkombi","Tvåhjulsdriven",90,"Grå","Volkswagen","polo","Östergötland"
189900,"Företag","Diesel","Automat",16781,2016,"Kombi","Fyrhjulsdriven",240,"Orange","Volkswagen","passat","Östergötland"
259900,"Företag","Miljöbränsle/Hybrid","Automat",9915,2020,"Kombi","Tvåhjulsdriven",218,"Brun","Volkswagen","passat","Östergötland"
139900,"Företag","Bensin","Automat",12474,2015,"Familjebuss","Tvåhjulsdriven",141,"Brun","Volkswagen","Touran","Östergötland"
389800,"Företag","Diesel","Automat",9451,2021,"Suv","Fyrhjulsdriven",200,"Grå","Volkswagen","tiguan","Östergötland"
194800,"Företag","Bensin","Automat",15138,2018,"Suv","Fyrhjulsdriven",150,"Vit","Volkswagen","tiguan","Östergötland"
299000,"Företag","Bensin","Automat",4525,2022,"Kombi","Tvåhjulsdriven",150,"Grå","Volkswagen","tiguan","Östergötland"
309000,"Företag","Diesel","Automat",10936,2019,"Kombi","Fyrhjulsdriven",191,"Grå","Volkswagen","tiguan","Östergötland"
399800,"Företag","Diesel","Automat",7049,2021,"Suv","Fyrhjulsdriven",200,"Vit","Volkswagen","tiguan","Östergötland"
119800,"Företag","Bensin","Automat",10527,2012,"Halvkombi","Tvåhjulsdriven",123,"Vit","Volkswagen","golf","Östergötland"
109800,"Företag","Bensin","Manuell",10854,2017,"Halvkombi","Tvåhjulsdriven",90,"Silver","Volkswagen","polo","Östergötland"
199800,"Företag","Bensin","Automat",13398,2018,"Suv","Fyrhjulsdriven",150,"Blå","Volkswagen","tiguan","Östergötland"
164900,"Företag","Diesel","Automat",11588,2019,"Kombi","Tvåhjulsdriven",116,"Vit","Volkswagen","golf","Östergötland"
179900,"Företag","Miljöbränsle/Hybrid","Automat",16200,2018,"Halvkombi","Tvåhjulsdriven",204,"Blå","Volkswagen","golf","Östergötland"
134800,"Företag","Diesel","Automat",21420,2015,"Kombi","Fyrhjulsdriven",191,"Vit","Volkswagen","passat","Östergötland"
349800,"Företag","El","Automat",7399,2021,"Suv","Tvåhjulsdriven",204,"Grå","Volkswagen","ID.4","Östergötland"
219700,"Företag","Bensin","Automat",13494,2018,"Suv","Fyrhjulsdriven",191,"Svart","Volkswagen","t-roc","Östergötland"
89900,"Företag","Diesel","Manuell",18557,2015,"Kombi","Tvåhjulsdriven",111,"Vit","Volkswagen","golf","Östergötland"
149900,"Företag","Diesel","Automat",16400,2017,"Suv","Fyrhjulsdriven",181,"Vit","Volkswagen","golf","Östergötland"
48000,"Privat","Diesel","Manuell",24387,2012,"Halvkombi","Tvåhjulsdriven",105,"Grå","Volkswagen","golf","Östergötland"
89900,"Företag","Bensin","Manuell",7498,2013,"Halvkombi","Tvåhjulsdriven",90,"Svart","Volkswagen","polo","Östergötland"
12000,"Privat","Bensin","Manuell",20490,2006,"Halvkombi","Tvåhjulsdriven",102,"Silver","Volkswagen","golf","Östergötland"
149800,"Företag","Bensin","Manuell",8924,2018,"Halvkombi","Tvåhjulsdriven",111,"Vit","Volkswagen","golf","Östergötland"
288900,"Företag","Diesel","Automat",13349,2019,"Suv","Fyrhjulsdriven",191,"Blå","Volkswagen","tiguan","Östergötland"
169800,"Företag","Diesel","Automat",17151,2017,"Kombi","Fyrhjulsdriven",191,"Vit","Volkswagen","passat","Östergötland"
128900,"Företag","Diesel","Automat",24025,2017,"Kombi","Tvåhjulsdriven",150,"Vit","Volkswagen","golf","Östergötland"
309900,"Företag","Miljöbränsle/Hybrid","Automat",5540,2022,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Östergötland"
139900,"Företag","Bensin","Automat",11300,2014,"Halvkombi","Tvåhjulsdriven",126,"Röd","Volkswagen","golf","Östergötland"
229900,"Företag","Miljöbränsle/Hybrid","Automat",6780,2020,"Halvkombi","Tvåhjulsdriven",204,"Grå","Volkswagen","golf","Östergötland"
229900,"Företag","Bensin","Automat",5846,2022,"Suv","Tvåhjulsdriven",111,"Vit","Volkswagen","T-Cross","Östergötland"
299900,"Företag","Miljöbränsle/Hybrid","Automat",6977,2022,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Östergötland"
25000,"Företag","Bensin","Manuell",18681,2008,"Kombi","Tvåhjulsdriven",141,"Röd","Volkswagen","golf","Östergötland"
179800,"Företag","Bensin","Automat",10427,2017,"Kombi","Tvåhjulsdriven",150,"Svart","Volkswagen","golf","Östergötland"
89900,"Företag","Diesel","Manuell",18200,2016,"Kombi","Tvåhjulsdriven",111,"Vit","Volkswagen","golf","Östergötland"
209800,"Företag","Miljöbränsle/Hybrid","Automat",10616,2016,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Östergötland"
244900,"Företag","Bensin","Automat",2242,2022,"Kombi","Tvåhjulsdriven",111,"Svart","Volkswagen","T-Cross","Östergötland"
279000,"Företag","Diesel","Automat",11053,2020,"Suv","Fyrhjulsdriven",191,"Vit","Volkswagen","tiguan","Östergötland"
235000,"Privat","Bensin","Automat",14396,2016,"Kombi","Fyrhjulsdriven",301,"Vit","Volkswagen","golf","Östergötland"
69000,"Privat","Bensin","Automat",23958,2021,"Coupé","Tvåhjulsdriven",161,"Vit","Volkswagen","passat","Östergötland"
94900,"Företag","Diesel","Manuell",13040,2013,"Halvkombi","Tvåhjulsdriven",105,"Svart","Volkswagen","golf","Östergötland"
144800,"Företag","Diesel","Manuell",14600,2016,"Kombi","Tvåhjulsdriven",150,"Vit","Volkswagen","passat","Östergötland"
378800,"Företag","Diesel","Automat",2344,2022,"Kombi","Fyrhjulsdriven",200,"Svart","Volkswagen","passat","Östergötland"
319900,"Företag","Diesel","Automat",9974,2021,"Kombi","Fyrhjulsdriven",200,"Svart","Volkswagen","passat","Östergötland"
289900,"Företag","Bensin","Automat",15479,2022,"Familjebuss","Tvåhjulsdriven",150,"Silver","Volkswagen","sharan","Östergötland"
2650000,"Privat","Bensin","Manuell",86,2018,"Halvkombi","Fyrhjulsdriven",272,"Vit","Volkswagen","polo","Östergötland"
31500,"Privat","Bensin","Manuell",13648,2003,"Halvkombi","Tvåhjulsdriven",105,"Blå","Volkswagen","golf","Östergötland"
269900,"Företag","Miljöbränsle/Hybrid","Automat",6655,2020,"Kombi","Tvåhjulsdriven",218,"Svart","Volkswagen","passat","Östergötland"
31000,"Privat","Bensin","Manuell",23142,2006,"Halvkombi","Tvåhjulsdriven",102,"Blå","Volkswagen","golf","Östergötland"
13000,"Privat","Bensin","Manuell",16877,2002,"Kombi","Tvåhjulsdriven",150,"Blå","Volkswagen","passat","Östergötland"
188700,"Företag","Miljöbränsle/Hybrid","Automat",13037,2018,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Östergötland"
144800,"Företag","Diesel","Automat",16785,2017,"Kombi","Tvåhjulsdriven",116,"Vit","Volkswagen","golf","Östergötland"
89800,"Företag","Bensin","Manuell",6430,2016,"Halvkombi","Tvåhjulsdriven",75,"Svart","Volkswagen","UP","Östergötland"
174800,"Företag","Diesel","Automat",14109,2016,"Kombi","Fyrhjulsdriven",191,"Silver","Volkswagen","passat","Östergötland"
299800,"Företag","Diesel","Automat",9673,2018,"Suv","Fyrhjulsdriven",191,"Vit","Volkswagen","tiguan","Östergötland"
239800,"Företag","Diesel","Automat",11882,2017,"Suv","Fyrhjulsdriven",191,"Grön","Volkswagen","tiguan","Östergötland"
139800,"Företag","Bensin","Automat",8319,2012,"Halvkombi","Tvåhjulsdriven",200,"Vit","Volkswagen","beetle","Östergötland"
55000,"Privat","Miljöbränsle/Hybrid","Manuell",24983,2014,"Kombi","Tvåhjulsdriven",161,"Blå","Volkswagen","passat","Östergötland"
17000,"Privat","Bensin","Manuell",26594,2002,"Halvkombi","Tvåhjulsdriven",105,"Röd","Volkswagen","golf","Östergötland"
195000,"Privat","Diesel","Automat",16200,2018,"Kombi","Fyrhjulsdriven",191,"Grå","Volkswagen","passat","Östergötland"
89900,"Företag","Bensin","Manuell",22022,2013,"Suv","Fyrhjulsdriven",161,"Vit","Volkswagen","tiguan","Östergötland"
1e+05,"Privat","Diesel","Automat",21865,2013,"Kombi","Fyrhjulsdriven",170,"Brun","Volkswagen","passat","Östergötland"
248900,"Företag","Diesel","Automat",7106,2019,"Suv","Fyrhjulsdriven",150,"Vit","Volkswagen","t-roc","Östergötland"
139800,"Företag","Bensin","Manuell",14877,2017,"Kombi","Tvåhjulsdriven",150,"Vit","Volkswagen","golf","Östergötland"
219800,"Företag","Diesel","Automat",4386,2019,"Halvkombi","Tvåhjulsdriven",116,"Vit","Volkswagen","golf","Östergötland"
188800,"Företag","Bensin","Automat",11773,2014,"Halvkombi","Tvåhjulsdriven",230,"Silver","Volkswagen","golf","Östergötland"
11000,"Privat","Bensin","Manuell",29500,2000,"Kombi","Tvåhjulsdriven",150,"Silver","Volkswagen","passat","Östergötland"
67900,"Företag","Bensin","Manuell",17100,2011,"Kombi","Tvåhjulsdriven",123,"Svart","Volkswagen","golf","Östergötland"
165000,"Företag","Bensin","Automat",12000,2015,"Familjebuss","Tvåhjulsdriven",141,"Grå","Volkswagen","Touran","Östergötland"
67000,"Privat","Diesel","Manuell",25786,2013,"Kombi","Fyrhjulsdriven",105,"Röd","Volkswagen","golf","Östergötland"
399800,"Företag","Diesel","Automat",14973,2019,"Suv","Fyrhjulsdriven",286,"Svart","Volkswagen","touareg","Östergötland"
