Salesprice,Seller,Fueltype,Gearbox,Mileage,Year,Cartype,Drivetype,Horspower,Color,Brand,Modell,Region
439 000,Företag,diesel,automat,5108,2022,Familjebuss,Tvåhjulsdriven,150,vit,Volkswagen,Transporter,Göteborg
110 000,Privat,diesel,automat,19999,2013,halvkombi,Tvåhjulsdriven,105,grå,Volkswagen,Golf,Göteborg
34 900,Företag,bensin,manuell,18986,2008,Kombi,Tvåhjulsdriven,141,Röd,Volkswagen,Golf,Göteborg
107 000,Privat,diesel,automat,24113,2011,Familjebuss,Tvåhjulsdriven,141,Silver,Volkswagen,Sharan,Göteborg
39 000,Privat,Miljöbränsle/Hybrid,manuell,16914,2008,halvkombi,Tvåhjulsdriven,102,Silver,Volkswagen,Golf,Göteborg
155 000,Företag,bensin,automat,10835,2015,familjebuss,Tvåhjulsdriven,141,grå,Volkswagen,Touran,Göteborg
130 000,Privat,diesel,manuell,11106,2017,halvkombi,Tvåhjulsdriven,116,vit,Volkswagen,Golf,Göteborg
99 900,Företag,bensin,manuell,14551,2013,halvkombi,Tvåhjulsdriven,105,Blå,Volkswagen,Golf,Göteborg
115 000,Företag,bensin,automat,13452,2015,halvkombi,Tvåhjulsdriven,90,Silver,Volkswagen,Golf,Göteborg
110 000,Företag,bensin,automat,8800,2012,halvkombi,Tvåhjulsdriven,86,Röd,Volkswagen,Polo,Göteborg
164 900,Företag,diesel,automat,13504,2015,Kombi,Fyrhjulsdriven,177,Svart,Volkswagen,Passat,Göteborg
89 900,Företag,Miljöbränsle/Hybrid,manuell,9300,2013,Sedan,Tvåhjulsdriven,161,Röd,Volkswagen,Passat,Göteborg
144 900,Privat,diesel,automat,20470,2016,Kombi,Tvåhjulsdriven,,grå,Volkswagen,Passat,Göteborg
105 000,Privat,bensin,manuell,8961,2014,halvkombi,Tvåhjulsdriven,90,grå,Volkswagen,Polo,Göteborg
229 900,Företag,diesel,automat,14353,2021,Kombi,Tvåhjulsdriven,116,svart,Volkswagen,Golf,Göteborg
239 900,Företag,Miljöbränsle/Hybrid,automat,11706,2022,Kombi,Tvåhjulsdriven,218,vit,Volkswagen,Passat,Göteborg
19 500,Privat,diesel,manuell,44103,2001,Kombi,Tvåhjulsdriven,90,vit,Volkswagen,Golf,Göteborg
169 700,Företag,El,automat,3500,2016,halvkombi,Tvåhjulsdriven,116,vit,Volkswagen,Golf,Göteborg
70 000,Privat,diesel,manuell,21464,2013,Kombi,Tvåhjulsdriven,141,grå,Volkswagen,Passat,Göteborg
329 800,Företag,El,automat,7687,2021,SUV,Tvåhjulsdriven,207,vit,Volkswagen,ID.4,Göteborg
45 000,Privat,Miljöbränsle/Hybrid,manuell,23926,2010,halvkombi,Tvåhjulsdriven,102,Silver,Volkswagen,Golf,Göteborg
294 900,Företag,diesel,automat,8560,2021,Kombi,Fyrhjulsdriven,200,svart,Volkswagen,Passat,Göteborg
230 000,Privat,Miljöbränsle/Hybrid,automat,8050,2020,Kombi,Tvåhjulsdriven,218,Brun,Volkswagen,Passat,Göteborg
659 000,Företag,Miljöbränsle/Hybrid,automat,8300,2021,SUV,Fyrhjulsdriven,463,vit,Volkswagen,Touareg,Göteborg
24 000,Privat,bensin,manuell,20100,2007,halvkombi,Tvåhjulsdriven,81,svart,Volkswagen,Polo,Göteborg
70 000,Privat,bensin,automat,24444,2011,halvkombi,Tvåhjulsdriven,161,grå,Volkswagen,Scirocco,Göteborg
31000,Privat,bensin,manuell,16296,2007,halvkombi,Tvåhjulsdriven,102,grå,Volkswagen,Golf,Göteborg
194900,Företag,bensin,manuell,6561,2021,halvkombi,Tvåhjulsdriven,150,vit,Volkswagen,Golf,Göteborg
59000,Privat,bensin,manuell,24231,2009,halvkombi,Tvåhjulsdriven,123,Röd,Volkswagen,Golf,Göteborg
104990,Företag,Miljöbränsle/Hybrid,automat,7720,2015,familjebuss,Tvåhjulsdriven,150,vit,Volkswagen,Touran,Göteborg
258900,Företag,Diesel,Automat,12255,2017,Familjebuss,Tvåhjulsdriven,150,Ljusbrun,Volkswagen,Sharan,Östergötland
169800,Företag,Bensin,Automat,15239,2014,Halvkombi,Tvåhjulsdriven,230,Svart,Volkswagen,Golf,Östergötland
99000,Företag,Diesel,Automat,25471,2014,Kombi,Fyrhjulsdriven,177,Ljusgrå,Volkswagen,Passat,Östergötland
309800,Företag,Diesel,Automat,13242,2020,Familjebuss,Fyrhjulsdriven,177,Mörkgrå,Volkswagen,Sharan,Östergötland
48000,Privat,Diesel,Automat,21156,2012,Halvkombi,Tvåhjulsdriven,90,Silver,Volkswagen,Polo,Östergötland
139800,Företag,Bensin,Manuell,2139,2013,Halvkombi,Tvåhjulsdriven,141,Silver,Volkswagen,Golf,Östergötland
279800,Företag,Diesel,Automat,7430,2020,Kombi,Fyrhjulsdriven,191,Silver,Volkswagen,Passat,Östergötland
229000,Företag,Bensin,Automat,3045,2021,Kombi,Tvåhjulsdriven,111,Vit,Volkswagen,T-Cross,Östergötland
52000,Privat,Diesel,Manuell,22072,2013,Kombi,Tvåhjulsdriven,105,Svart,Volkswagen,Golf,Östergötland
158800,Företag,Bensin,Automat,9592,2018,Kombi,Tvåhjulsdriven,111,Vit,Volkswagen,Golf,Östergötland
179000,Företag,Diesel,Automat,15939,2016,Sedan,Fyrhjulsdriven,240,Vit,Volkswagen,Passat,Östergötland
144800,Företag,Bensin,Automat,6183,2017,Halvkombi,Tvåhjulsdriven,90,Vit,Volkswagen,Polo,Östergötland
169800,Företag,Diesel,Automat,16981,2017,Kombi,Fyrhjulsdriven,191,Vit,Volkswagen,Passat,Östergötland
144800,Företag,Bensin,Automat,5435,2016,Halvkombi,Tvåhjulsdriven,90,Mörkgrå,Volkswagen,Polo,Östergötland
189900,Företag,Diesel,Automat,16781,2016,Kombi,Fyrhjulsdriven,240,Orange,Volkswagen,Passat,Östergötland
259900,Företag,Miljöbränsle/Hybrid,Automat,9915,2020,Kombi,Tvåhjulsdriven,218,Ljusbrun,Volkswagen,Passat,Östergötland
139900,Företag,Bensin,Automat,12474,2015,Familjebuss,Tvåhjulsdriven,141,Brun,Volkswagen,CrossTouran,Östergötland
389800,Företag,Diesel,Automat,9451,2021,SUV,Fyrhjulsdriven,200,Mörkgrå,Volkswagen,Tiguan,Östergötland
194800,Företag,Bensin,Automat,15138,2018,SUV,Fyrhjulsdriven,150,Vit,Volkswagen,Tiguan,Östergötland
299000,Företag,Bensin,Automat,4525,2022,Kombi,Tvåhjulsdriven,150,Grå,Volkswagen,Tiguan,Östergötland
309000,Företag,Diesel,Automat,10936,2019,Kombi,Fyrhjulsdriven,191,Grå,Volkswagen,Tiguan,Östergötland
399800,Företag,Diesel,Automat,7049,2021,SUV,Fyrhjulsdriven,200,Vit,Volkswagen,Tiguan,Östergötland
